GIỐNG - LOẠI,GIỐNG - NHU CẦU,GIỐNG - TỈNH THÀNH,QUẬN HUYỆN,GIÁ - TRIỆU ĐỒNG,DIỆN TÍCH - M2,HƯỚNG,SỐ TẦNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3515,85.8,,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4653,105.9,Tây Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3806,88.7,Bắc,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4463,82.0,Đông Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4680,98.5,Nam,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4827,52.7,Tây,,1,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2370,71.4,Tây Bắc,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6166,47.5,Tây,,,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3933,96.1,Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4302,46.1,Nam,,4,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2417,71.4,Bắc,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5663,58.0,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4284,72.5,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4212,110.6,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4700,90.5,,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6476,59.8,Tây,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4402,117.6,,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2396,86.9,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,2753,42.1,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2670,68.6,Đông,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2659,74.3,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3482,108.2,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4204,51.8,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3878,77.2,Tây Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4206,60.9,Tây Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5174,73.1,,,1,1,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 2,3607,67.8,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,2000,82.4,Tây Bắc,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4377,101.4,Tây Bắc,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2653,50.2,Đông Nam,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4111,49.7,Đông Nam,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5679,88.1,Tây,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,,90.6,,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4678,47.3,Đông Bắc,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3537,53.3,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4576,69.9,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4499,43.5,Tây Nam,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2740,108.2,Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2078,107.0,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3484,96.3,Đông Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4525,93.5,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4944,59.3,Tây,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4435,72.4,,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3826,94.7,,,,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2299,,Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6228,,Tây Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2259,60.3,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2714,46.1,,,1,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2782,103.3,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3841,46.9,Đông,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4798,75.4,Đông Nam,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6959,70.7,Đông,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1670,,,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3374,62.6,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6781,78.9,Tây Nam,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4412,87.0,Đông Nam,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3683,67.0,Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2903,74.0,,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4940,110.6,Tây Bắc,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4004,41.4,Tây Nam,,1,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1831,122.9,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 3,4267,63.7,Đông Nam,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4605,,Đông Bắc,,,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6997,41.4,Nam,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3953,116.4,Tây Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2983,142.4,Tây Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4608,110.6,Tây,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2334,140.2,Tây Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4691,92.2,Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4207,63.9,Đông,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3932,118.8,Tây Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,4678,77.5,Tây Nam,,2,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2750,99.1,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3543,51.0,Đông Bắc,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4654,89.7,,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4071,49.7,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3422,48.2,Bắc,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2375,93.2,Tây,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1843,102.9,,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2221,138.6,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5842,56.6,Đông Bắc,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3788,68.0,Đông Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,5105,,Đông,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2666,147.3,Đông,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3515,73.5,Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3634,53.4,Nam,,4,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1953,77.4,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,,113.2,Tây Nam,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6421,60.4,Tây,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3754,48.4,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2920,91.3,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3887,58.3,Tây Bắc,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,6592,54.5,Tây,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5653,40.4,,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1686,,Tây Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,,131.1,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3523,74.0,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3120,97.8,Tây Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3173,55.5,Đông Bắc,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1595,101.7,Tây,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,,,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3803,75.3,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4675,66.0,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4761,66.9,Đông Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4543,41.8,Đông Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2224,53.1,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3437,43.6,Đông Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3927,96.1,Tây Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4043,55.8,Đông,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2966,139.4,,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,,79.5,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3655,101.6,Đông Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2088,123.8,Đông,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2988,52.3,Tây,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2041,100.8,Đông Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3356,46.7,,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5507,87.8,Nam,,,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3391,117.8,,,,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2083,133.4,Đông Nam,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 2,3963,72.5,Đông Bắc,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2159,65.0,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3106,136.2,Tây Nam,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3504,47.2,,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1735,132.1,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4780,82.1,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3039,81.3,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2905,127.6,Bắc,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3258,57.8,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4772,68.3,Tây Nam,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3950,110.5,Đông,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3613,73.6,Tây Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4609,73.1,Đông,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3422,107.3,,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2155,89.9,Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6625,45.1,Bắc,,,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4021,81.3,,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2347,90.2,,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4945,97.1,Đông Bắc,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4620,51.4,Nam,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3855,53.8,Đông Nam,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3700,114.6,Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3233,81.1,Đông Bắc,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3467,64.6,,,1,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4476,118.3,Tây Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3193,88.4,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2305,136.4,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3054,46.3,,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,,67.4,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4783,51.2,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 3,6235,59.6,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4666,50.8,Đông Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3467,98.2,Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5483,32.2,,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3431,95.4,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3818,,Đông Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2023,117.0,Tây Bắc,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4696,41.7,,,4,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5147,76.2,Tây Bắc,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3637,66.2,Đông Bắc,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3651,62.8,Tây Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,1189,117.7,Đông Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7269,63.0,,,2,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5706,80.2,Tây Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3441,73.8,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2884,77.8,Đông,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4844,79.1,Nam,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2429,124.0,,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2444,111.7,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2607,55.6,Đông Bắc,,,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4554,72.4,,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3453,115.5,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5205,84.3,Đông Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1000,80.6,Nam,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4922,59.6,Đông,,,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,2792,59.5,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3024,73.8,,,4,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,,76.5,Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2768,71.0,Bắc,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3490,46.5,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,4955,67.7,Nam,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2651,121.6,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,1778,84.6,Nam,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4976,87.2,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4352,98.3,Tây Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2102,145.2,Tây,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3849,114.0,Đông,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4492,71.6,,,,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3112,139.3,Tây Nam,,4,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3349,71.4,Tây Bắc,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5007,41.5,Đông,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3174,113.4,,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2438,70.5,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4199,50.5,Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3515,85.7,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4430,53.9,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3391,94.8,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4597,79.8,,,2,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3581,55.3,Đông Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4644,59.8,Đông Nam,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3951,53.8,,,,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6212,50.0,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,3845,110.2,Tây Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,4061,,Tây Nam,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3539,101.6,Đông Nam,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2969,134.5,,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2470,66.9,Đông,,1,1,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 3,5444,88.7,Tây,,4,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5278,69.3,Đông Bắc,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3370,,Nam,,1,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,4653,115.2,Bắc,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2973,57.7,,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3675,98.9,Đông,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4718,,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3876,77.6,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4719,55.8,Tây Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3928,71.8,Tây,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3229,52.9,Đông Bắc,,1,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,2500,108.9,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3517,110.9,Tây Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3887,112.2,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2775,99.6,Đông,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,3400,46.1,Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2859,58.4,Bắc,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2396,84.9,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2040,67.9,Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4482,92.6,Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5107,84.2,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3324,76.9,Bắc,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,,64.0,,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4312,115.1,Đông,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,4851,92.6,Tây Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3840,111.0,Tây Bắc,,4,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,3406,60.2,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3989,108.6,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2713,137.0,,,1,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,2656,76.5,Tây,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4615,82.7,Đông Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3118,60.9,,,1,,Đang chờ sổ
